lamda,n,k
400.0,4.65036,1.0000000000000002
407.14285714285717,4.533471835960634,1.048481663918931
414.2857142857143,4.426148192475972,1.0417496128235755
421.42857142857144,4.327638446192598,0.9929003383509003
428.57142857142856,4.237191973757092,0.9150303321378719
435.7142857142857,4.154058151816034,0.8212360858214558
442.8571428571429,4.0774868477789825,0.7245922704627443
450.0,4.006807636739042,0.6346295498554737
457.14285714285717,3.9415172509334226,0.5534463540724494
464.2857142857143,3.8811341706671585,0.4821873427258503
471.42857142857144,3.8252187955460153,0.4209257785237577
478.57142857142856,3.773396505877033,0.36807411111286686
485.7142857142857,3.7252997362253732,0.32191995220895775
492.8571428571429,3.680605327243619,0.28129831296610686
500.0,3.639041463657026,0.24567712939558614
507.14285714285717,3.6003410509669793,0.2145590135938876
514.2857142857143,3.5642703961644817,0.18743603597993466
521.4285714285714,3.5306247018346033,0.1637911473783034
528.5714285714286,3.49920262570045,0.14311766839095613
535.7142857142858,3.4698319193479996,0.12503299493460818
542.8571428571429,3.442359107939921,0.1092345857710902
550.0,3.4166337298246257,0.09542780375568914
557.1428571428571,3.392526762696111,0.08337017069550777
564.2857142857143,3.36991940631071,0.07284407725639191
571.4285714285714,3.3486961177357437,0.06364073064088581
578.5714285714286,3.3287592261641006,0.05559980876483266
585.7142857142858,3.3100172730003936,0.048577837586704475
592.8571428571429,3.292382106078459,0.04243891821276736
600.0,3.27577877244749,0.037077381134239806
607.1428571428571,3.260135622102013,0.03239512059526853
614.2857142857143,3.2453845258569296,0.02830130997139996
621.4285714285714,3.231467481335779,0.024726059341300687
628.5714285714286,3.218328316207083,0.021603258978540707
635.7142857142858,3.2059141793155823,0.018873123720345466
642.8571428571429,3.1941791836610443,0.01648913034454044
650.0,3.18307837614598,0.014406515016106854
657.1428571428571,3.172570226073412,0.012585887844900815
664.2857142857142,3.1626185073726836,0.01099618840701489
671.4285714285714,3.1531875505546028,0.009607216149286137
678.5714285714287,3.1442447275228127,0.008393118911290433
685.7142857142858,3.1357609263916,0.007333071790070252
692.8571428571429,3.1277073926175167,0.006406719554082642
700.0,3.1200582705797895,0.0055971113855026984
707.1428571428571,3.112790212250286,0.004890241313162381
714.2857142857142,3.105880144398944,0.004272422393077651
721.4285714285714,3.0993072272810758,0.0037325477470499017
728.5714285714287,3.0930520622129403,0.0032611751740151108
735.7142857142858,3.0870955819958508,0.002849128693114253
742.8571428571429,3.0814211615063534,0.002489126414018275
750.0,3.0760133403010785,0.0021747897803721795
